                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.029,                 6.4265,                 4.1772,                      0,                      0,                      0,                      0,                 4.6285,                 6.2197,                 4.1446,             0.00064762,             0.00064762,             0.00064762
                      2,                  2.713,                 3.8689,                  3.121,                      0,                      0,                      0,                      0,                  4.131,                 5.1559,                 3.9055,              0.0012883,              0.0012883,              0.0012883
